rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness,eco_score
1323,1,7.5,6.29,0.9,81.4
1962,1,5.3,7.18,0.77,65.1
2005,1,0.5,7.07,0.78,73.6
1299,2,5.5,7.74,0.64,62.3
3106,4,17.9,9.8,0.8,28.1
2131,4,11.5,11.18,0.47,3.1
966,1,11.8,6.31,0.69,72.7
2259,0,10.2,7.1,0.55,56.0
1117,1,4.7,4.23,0.8,82.5
2350,2,13.1,11.56,0.92,28.2
2611,6,9.7,9.82,0.64,15.3
1225,5,17.6,8.93,0.22,20.7
2474,1,6.2,8.44,1.0,57.0
2088,1,2.5,7.93,0.68,64.0
2375,4,13.5,7.75,0.73,47.0
3127,2,6.9,9.46,0.7,28.2
1628,1,12.3,6.59,0.63,63.2
1272,2,14.0,5.82,0.51,68.9
1177,4,0.0,6.86,0.71,62.3
1228,0,25.2,7.32,0.89,64.0
1746,4,6.4,8.24,0.53,45.3
2038,1,12.8,6.47,0.51,50.5
1993,3,9.3,7.64,0.61,45.1
2379,6,16.9,9.99,0.83,19.2
1809,5,10.9,7.68,0.72,42.8
2817,4,20.2,9.12,0.61,9.0
1614,4,5.6,7.79,0.46,43.8
3704,4,18.0,7.34,0.68,21.7
2237,4,3.2,7.61,0.83,51.0
1199,2,10.9,6.41,0.72,60.0
1050,6,8.3,8.19,0.61,39.6
2137,1,12.8,6.31,0.84,64.5
1643,3,13.3,8.34,0.66,46.1
2299,3,14.2,8.51,0.59,34.5
2131,1,7.9,7.41,0.78,59.9
1749,4,11.5,8.91,0.73,44.0
1207,1,8.5,6.92,0.8,77.5
739,5,8.1,9.43,0.44,45.9
1487,1,22.1,6.04,0.74,64.7
2399,5,10.0,8.18,0.32,17.1
1949,4,10.8,9.35,0.65,37.0
927,3,13.2,8.59,0.66,54.1
1921,0,5.8,8.98,0.81,59.2
2069,2,11.8,5.97,0.61,55.1
1181,5,4.7,6.47,0.68,56.9
1907,4,12.6,8.88,0.77,43.1
1840,0,3.3,3.79,0.72,88.1
999,2,12.4,6.41,0.47,52.8
2050,6,22.8,10.02,0.64,18.8
2192,4,22.3,8.87,0.56,22.3
2558,3,9.3,9.71,0.71,17.7
2537,2,0.0,9.07,0.69,44.4
835,5,15.6,7.99,0.35,36.2
1143,2,8.5,5.91,0.73,70.2
2160,3,6.9,7.22,0.79,54.6
2159,2,11.7,7.63,0.61,46.4
2160,3,12.7,11.18,0.35,11.4
4496,4,16.4,11.73,0.69,6.2
2199,3,9.1,6.63,0.62,44.8
2594,7,13.4,10.69,0.81,10.6
2467,6,12.1,9.85,0.39,7.1
2255,4,9.4,8.29,0.94,47.0
1579,4,16.2,10.51,0.76,36.7
2331,4,8.8,7.74,0.63,36.8
1259,4,5.6,7.39,0.52,41.6
1634,3,14.1,8.4,0.54,35.8
1460,4,15.0,9.73,0.62,32.8
1857,3,21.2,6.64,0.84,55.6
3420,3,24.0,9.53,0.48,10.3
500,1,16.8,8.21,0.7,65.9
2280,2,13.8,9.16,0.57,41.8
671,3,11.5,9.35,0.6,53.5
1469,2,6.6,5.99,0.8,72.7
2562,1,20.3,7.97,0.71,38.7
1844,1,11.2,7.32,0.79,63.6
1045,1,16.5,8.72,0.71,55.7
1299,3,11.3,7.84,0.42,56.9
2275,5,16.6,10.26,0.23,18.1
1288,0,9.0,6.97,0.64,74.8
1951,2,7.0,9.44,0.89,57.2
1831,2,13.1,8.38,0.88,53.2
1343,2,21.7,8.28,0.61,50.7
3300,0,5.4,7.37,0.85,60.1
2243,5,12.9,8.73,0.72,28.4
500,2,1.2,8.7,0.86,75.7
1930,2,13.5,7.92,0.72,50.7
1336,4,15.8,7.82,0.51,39.6
2396,6,18.0,11.71,0.9,17.5
1245,3,10.2,6.75,0.74,67.1
1719,1,7.2,7.0,0.72,72.2
2153,3,12.6,8.21,0.67,42.8
2406,2,13.0,7.79,0.7,37.2
959,4,12.7,8.34,0.77,46.9
1565,1,6.8,7.74,0.61,58.3
1467,1,1.3,5.95,0.87,78.6
1342,1,14.1,6.92,0.67,63.2
3035,5,14.7,9.4,0.51,23.9
2083,3,4.5,9.77,0.74,43.8
917,3,14.7,7.86,0.94,62.0
2442,2,13.7,8.1,0.85,44.9
3285,3,9.2,8.62,0.61,26.4
2522,6,10.0,11.08,0.95,22.2
736,2,15.6,7.95,0.8,64.8
1461,3,9.2,7.36,0.79,55.8
2686,0,0.0,8.7,0.73,49.1
1304,3,11.2,8.63,0.56,50.2
2110,3,12.3,10.47,0.59,33.7
2342,5,14.6,9.22,0.69,26.7
1151,3,8.0,7.02,0.86,72.3
1758,3,11.9,8.36,0.69,41.6
500,4,16.3,6.1,0.68,63.1
1082,4,2.1,6.32,0.78,71.2
1623,2,13.1,7.71,0.34,47.8
926,0,12.2,7.23,0.39,59.4
2942,1,7.5,8.19,0.69,56.9
798,4,6.1,7.67,0.35,48.9
1491,1,13.7,7.82,0.55,47.7
1891,1,15.6,6.4,0.73,65.9
2808,8,12.0,12.27,0.37,0.0
794,4,11.9,7.11,0.48,45.6
2614,2,5.5,8.29,0.87,51.2
1807,4,9.7,10.48,0.68,32.0
1112,7,16.2,10.41,0.23,6.6
2123,1,13.8,10.15,0.88,44.5
1939,4,15.9,8.06,0.64,35.2
1379,1,9.9,4.68,0.86,76.9
1848,3,22.6,10.37,0.46,19.5
1530,2,3.9,7.2,0.72,63.1
1879,1,6.4,6.98,0.7,72.0
2263,4,13.3,9.3,0.71,23.4
2910,1,7.6,8.91,0.71,38.9
933,0,7.0,6.62,0.56,70.5
3293,3,15.9,8.46,0.62,21.2
500,2,6.0,7.5,0.72,74.8
1693,2,19.3,6.95,0.38,45.9
2211,1,4.6,5.35,0.48,66.9
1996,4,9.1,8.86,0.58,43.9
1364,2,16.1,6.9,0.81,59.4
1654,5,20.1,9.31,0.54,23.8
1454,2,8.8,6.22,0.39,56.3
1387,2,16.6,9.05,0.65,41.6
2394,3,7.1,7.25,0.64,50.1
2049,5,4.5,8.77,0.49,30.3
1314,2,15.4,8.44,0.66,51.5
2429,2,2.8,7.56,0.65,57.2
2015,2,10.3,7.32,0.65,41.4
2369,2,19.9,10.16,0.72,30.2
2240,2,5.7,8.92,0.57,41.4
1219,3,5.1,9.91,0.4,33.9
1407,1,4.4,5.76,0.36,65.3
2323,2,4.3,6.89,0.8,51.7
2227,1,3.7,7.55,0.55,50.8
1785,4,5.1,9.58,0.68,43.5
1882,5,18.9,8.51,0.73,31.3
2694,4,4.4,11.17,0.56,18.9
1385,0,11.3,6.44,0.95,79.1
2182,3,3.4,8.43,0.85,52.6
1658,2,11.2,9.12,0.88,45.6
1647,1,13.6,6.83,0.98,71.8
2569,3,11.4,7.13,0.88,52.1
2377,7,10.3,12.21,0.7,4.7
2369,3,11.4,9.03,0.35,27.1
2713,3,8.9,9.65,0.63,23.6
1814,5,13.1,9.25,0.7,34.8
2277,3,5.2,10.79,0.64,33.1
1582,0,9.8,5.22,0.6,75.4
2026,1,7.8,6.48,0.82,71.0
1708,5,17.8,9.94,0.92,33.7
1867,1,14.4,5.95,0.74,67.1
2216,1,10.9,6.9,0.64,55.2
1227,4,11.2,8.41,0.81,48.8
3264,3,7.8,7.52,0.66,32.6
1095,2,6.0,6.73,0.82,70.4
950,2,12.1,5.49,0.41,56.5
2610,2,13.0,8.43,0.61,41.5
2354,2,9.7,8.49,0.65,37.9
2236,3,11.5,8.29,0.43,19.8
2239,3,4.7,9.19,0.51,43.7
1791,2,11.1,9.27,0.67,51.0
1171,3,9.3,6.41,0.68,68.1
1853,3,17.4,9.34,0.7,34.9
1325,3,13.2,8.83,0.77,42.5
2482,2,8.9,9.92,0.9,50.3
1697,1,11.2,6.93,0.82,66.1
1222,5,23.4,9.68,0.35,16.9
1575,3,16.0,8.38,0.64,41.6
2089,1,6.4,7.41,0.57,55.6
1405,1,11.8,6.2,0.59,56.3
1224,3,26.1,7.6,0.7,36.6
1970,4,17.2,8.86,0.63,34.1
1971,0,7.4,8.51,0.89,67.2
1445,3,17.8,7.96,0.56,51.2
1470,5,5.0,8.95,0.72,42.0
1962,2,5.1,8.2,0.62,50.5
786,4,3.4,8.26,0.5,50.5
814,2,2.5,7.07,0.81,74.0
1297,4,12.9,7.18,0.93,57.2
1650,1,2.3,10.25,0.73,41.5
2017,2,5.4,7.35,0.55,52.6
2832,3,3.0,8.76,0.75,36.7
2400,2,12.7,8.13,0.65,52.1
1688,6,9.1,10.92,0.64,26.6
1786,3,16.0,7.71,0.68,43.0
1098,3,10.9,7.46,0.88,68.5
1787,3,18.6,9.3,0.81,37.7
1597,1,7.4,7.22,0.85,65.9
2025,3,15.9,8.69,0.93,45.3
1220,2,11.4,7.66,0.8,64.2
2163,7,19.4,11.66,0.61,12.3
2872,3,16.3,9.67,0.52,19.0
1723,3,12.5,8.41,0.44,35.9
2081,7,18.3,9.87,0.64,14.8
2283,3,14.4,10.54,0.9,41.6
1519,3,3.5,8.46,0.91,67.6
1956,6,17.0,9.45,0.48,17.3
1808,3,15.8,10.1,0.48,20.8
1868,4,12.4,6.13,0.6,42.4
1258,3,4.8,7.34,0.39,44.2
1817,4,15.3,7.35,0.44,33.7
2148,0,1.0,4.35,0.75,78.6
2815,2,2.0,8.15,0.75,59.2
2471,1,15.0,10.99,0.69,36.4
3307,4,15.4,9.72,0.43,16.6
1262,1,5.2,8.17,0.93,72.8
2410,0,10.1,6.3,0.73,63.2
1928,1,8.2,6.01,0.74,66.0
3332,0,12.0,8.93,0.63,36.7
1234,3,26.9,8.5,0.68,40.8
1212,0,3.6,5.93,0.98,91.8
1380,2,8.6,7.49,0.61,58.8
500,1,3.3,6.1,0.83,93.2
1431,2,15.6,8.06,0.77,61.7
1268,0,6.9,7.91,0.61,63.7
1905,7,15.3,11.16,0.5,0.0
2039,3,9.5,9.24,0.83,35.6
3113,2,7.5,8.36,0.93,51.2
2465,4,10.2,10.34,0.84,23.5
1396,1,7.3,9.26,0.81,67.1
1171,3,15.5,9.18,0.6,44.5
2144,0,12.6,9.13,0.66,43.1
875,5,14.8,7.63,0.63,43.6
3082,4,20.0,10.73,0.54,0.0
2625,2,13.5,7.98,0.47,32.2
1471,0,4.9,3.82,0.84,87.2
600,4,17.2,9.6,0.66,34.1
2747,0,12.7,7.18,0.73,57.3
1719,2,11.3,9.35,0.67,36.0
2666,5,12.6,10.11,0.75,17.0
683,3,4.9,8.31,0.87,71.9
1380,1,6.8,6.25,0.85,68.8
1803,1,0.0,5.1,0.86,74.1
1832,5,12.2,10.47,0.46,22.8
1484,2,10.6,7.65,0.9,72.8
2235,0,13.4,7.82,0.73,54.3
1052,2,7.8,8.07,0.85,65.6
1700,2,11.7,7.3,0.42,50.5
1884,8,23.3,9.96,0.71,13.0
2160,3,5.9,8.14,0.43,40.3
2298,3,14.4,8.03,0.94,58.3
1012,2,2.1,5.05,0.57,75.1
726,2,5.6,5.44,0.65,79.0
2694,1,4.9,6.78,0.53,42.4
2032,3,8.1,9.61,0.5,23.7
1276,1,5.6,5.58,0.87,81.5
2885,4,14.5,11.45,0.62,12.2
1880,4,11.8,7.42,0.46,31.9
2625,5,8.8,8.75,0.61,32.3
1847,3,4.0,5.2,0.73,66.2
3242,7,19.8,12.88,0.55,0.0
3028,2,15.2,5.52,0.7,47.3
1625,2,10.4,6.76,0.61,58.3
2480,1,0.0,6.27,0.61,60.4
2251,7,13.9,10.95,0.05,0.0
2758,8,14.2,11.18,0.83,13.1
1124,2,7.8,8.53,0.9,68.5
2280,5,20.6,10.55,0.53,4.4
2540,3,15.0,10.2,0.42,23.3
568,4,16.8,7.27,0.58,48.0
971,2,15.7,8.99,0.56,47.7
500,3,9.6,8.53,0.62,53.7
1611,2,8.7,6.84,0.71,65.9
2302,1,9.6,6.51,0.59,64.8
2851,3,8.8,8.42,0.58,26.1
1851,4,9.9,8.63,0.77,43.5
2940,1,13.4,7.64,1.0,52.7
833,2,13.3,5.27,0.75,81.2
607,4,2.4,8.23,0.54,50.9
1761,3,10.7,7.9,0.8,56.5
2068,2,16.3,6.77,0.63,55.6
1777,2,14.3,6.01,0.78,60.3
500,4,13.3,8.66,0.56,49.5
1737,4,20.5,9.18,0.67,39.9
886,2,8.4,5.82,0.72,71.4
2268,1,8.0,6.96,0.68,54.7
2056,5,3.7,9.09,0.4,27.6
1142,0,7.9,6.21,0.73,78.5
1440,4,22.2,10.02,0.62,24.1
1058,0,7.9,5.64,0.81,87.9
1756,3,12.7,9.75,0.72,42.0
2468,4,11.9,8.46,0.81,31.7
1109,2,12.7,8.94,0.59,49.9
2152,3,8.3,7.59,0.75,39.8
1428,2,19.3,8.02,0.7,51.7
1244,1,14.6,6.08,0.64,76.1
1725,5,17.5,11.73,0.7,10.8
1075,2,16.3,7.55,0.62,59.2
1412,2,10.3,6.36,0.61,59.4
961,2,7.1,6.73,0.18,51.8
3175,4,14.7,10.39,0.92,22.1
1824,6,21.2,8.57,0.47,19.3
1310,0,6.6,6.66,0.89,83.4
1949,4,11.3,9.62,0.5,23.8
1721,3,12.2,7.03,0.55,45.5
1645,3,1.7,7.23,0.63,59.6
2229,4,7.6,8.12,0.74,46.8
2330,4,9.9,7.43,0.78,43.6
1428,0,13.9,4.63,0.79,92.0
1396,1,11.2,8.57,0.81,70.1
1607,4,7.6,9.15,0.7,45.4
500,1,10.9,8.17,0.79,76.0
739,1,9.7,6.49,0.74,77.3
2756,2,7.8,8.55,0.61,36.9
2951,1,6.1,8.04,0.7,45.5
1625,3,23.4,8.85,0.81,45.1
2203,2,1.5,3.5,0.76,79.6
2017,4,10.0,8.79,0.72,35.5
3955,3,15.7,9.27,0.78,24.2
2583,2,6.1,6.24,0.91,57.3
1710,7,13.7,7.88,0.63,35.0
1131,1,3.3,7.01,0.63,67.4
675,1,10.5,6.88,0.8,72.7
1942,5,15.8,9.62,0.3,18.8
1270,5,8.6,9.9,0.64,33.0
804,1,16.4,8.76,0.64,49.4
1347,2,5.6,6.23,0.75,69.7
1042,2,12.7,7.12,0.79,72.0
2980,5,7.6,10.18,0.52,13.8
2417,3,14.4,10.66,0.61,28.5
1794,4,15.4,10.35,0.78,30.2
2835,1,5.5,7.26,0.77,56.0
1854,4,14.7,8.74,0.47,33.7
1197,3,13.3,8.79,0.88,49.7
2866,3,10.5,7.85,0.69,40.4
2177,3,15.7,10.36,0.64,25.9
1073,3,7.1,8.66,0.59,51.3
1666,2,16.6,7.18,0.54,52.9
1187,2,13.1,8.11,0.59,61.7
832,2,4.0,8.56,0.52,52.4
2448,1,12.0,8.65,0.71,38.5
3136,5,12.9,9.59,0.47,4.4
821,2,7.5,6.46,0.57,64.6
2194,1,13.0,6.63,0.96,69.0
1344,0,13.2,8.51,0.59,52.8
1459,2,0.0,4.14,0.62,80.4
1385,5,13.7,6.43,0.64,45.3
1195,4,12.1,9.72,0.7,39.5
1833,4,10.2,7.77,0.64,48.5
1218,1,10.2,5.24,0.64,68.8
1989,3,16.8,9.07,0.42,22.5
1764,1,2.7,7.06,0.73,74.8
1632,5,10.3,8.39,0.78,42.4
1164,1,5.5,6.04,0.48,64.2
1396,1,12.1,7.48,0.69,60.1
2328,3,8.8,9.92,0.38,24.5
2150,3,15.4,8.15,0.76,54.4
1115,3,16.2,7.24,0.76,46.8
1869,3,10.5,9.43,0.56,40.5
2325,3,12.5,5.95,0.66,43.7
631,2,9.7,7.13,0.76,64.4
2180,4,23.0,9.4,0.69,27.5
1336,3,6.8,9.31,0.71,44.3
2199,2,2.9,9.57,0.71,48.5
1265,1,0.0,7.3,1.0,74.9
536,2,11.5,9.16,0.87,61.5
660,2,11.6,9.15,0.71,48.3
1833,2,4.7,6.92,0.69,72.5
1981,3,7.8,8.17,0.72,37.8
1166,3,16.5,6.71,0.9,64.0
2247,2,14.5,6.76,0.8,53.2
636,0,6.8,5.5,1.0,98.1
1753,0,5.7,6.97,0.87,76.5
952,1,6.7,7.05,0.75,81.0
1343,3,13.4,6.93,0.54,38.8
1833,6,17.1,9.19,0.75,29.9
1197,2,14.4,7.78,0.6,45.9
1530,1,12.6,6.84,1.0,71.5
2504,1,5.3,6.93,0.53,44.4
1396,1,9.8,7.86,0.52,56.5
2384,4,15.2,8.45,0.66,24.4
1009,3,8.9,6.9,0.7,60.9
2170,2,10.3,8.4,0.9,57.3
2809,4,9.5,9.31,0.8,32.9
500,1,4.9,6.71,0.81,82.2
1242,1,3.0,8.07,0.77,68.3
2203,4,7.0,5.46,0.65,56.1
1657,5,12.0,10.94,0.68,31.3
2059,4,9.7,9.85,0.63,24.6
1377,0,12.4,6.45,0.58,78.1
1860,4,9.1,8.17,0.3,30.8
1691,1,8.4,5.53,0.72,66.6
2617,2,11.4,7.86,0.64,40.8
1978,2,6.2,8.09,0.35,40.9
2036,2,8.5,7.96,0.94,46.9
1511,1,0.0,7.64,0.6,61.6
1458,5,19.4,7.96,0.57,39.0
1497,9,20.3,10.15,0.39,0.0
2076,6,29.2,10.58,0.55,12.5
1505,1,8.5,9.7,0.86,50.4
2002,3,14.8,9.06,0.67,34.9
3252,2,15.2,8.27,0.91,39.0
2409,2,11.3,9.14,0.67,42.1
1571,6,7.7,10.08,0.34,21.1
2640,4,23.5,10.56,0.53,7.6
1514,1,8.1,6.46,0.48,73.0
500,2,8.6,7.62,0.67,64.9
1094,3,12.3,7.79,0.57,38.0
500,2,18.8,8.41,0.72,62.8
1553,3,15.9,8.54,0.62,39.2
1812,1,13.7,9.38,0.45,44.8
2973,7,15.3,9.25,0.58,0.0
2028,2,18.0,7.8,0.65,39.3
1646,4,11.7,7.69,0.6,45.2
2380,5,7.1,8.62,0.51,26.5
500,1,8.9,8.03,0.88,77.1
1964,3,11.6,6.99,0.47,36.0
2339,4,7.9,9.28,0.69,29.9
764,5,11.0,8.52,0.46,37.1
2600,2,6.9,4.36,0.98,77.4
2036,2,16.7,7.88,0.87,64.6
1509,3,9.4,6.72,0.75,69.1
2242,2,13.6,5.86,0.86,70.6
3389,2,14.1,9.2,0.89,35.5
1927,3,16.2,8.89,0.48,34.2
1973,3,14.9,10.25,0.74,38.9
1478,5,15.6,8.17,0.54,45.1
1205,2,0.0,5.73,0.91,80.7
2381,5,5.0,9.54,0.43,19.9
1200,3,7.3,7.92,0.74,60.7
1850,4,9.8,9.09,0.51,37.9
1465,2,7.1,6.95,0.94,69.8
2135,2,11.2,7.24,0.67,45.3
2033,4,13.5,7.93,0.69,38.8
2526,2,3.0,7.88,0.79,57.5
1442,0,12.2,7.84,0.59,57.0
1611,1,10.8,7.36,0.76,61.7
1114,0,6.6,6.76,0.96,89.5
1488,7,16.5,8.1,0.61,29.2
2064,1,15.1,7.63,0.53,47.6
2329,6,15.7,9.58,0.48,3.8
1154,2,13.3,6.82,0.95,75.4
2408,3,4.9,9.08,0.82,42.1
2748,6,14.6,11.02,0.71,7.5
2089,2,8.1,7.89,0.57,45.0
3113,3,8.8,10.21,0.66,26.2
1258,1,8.3,7.77,0.65,57.1
928,5,15.4,8.59,0.47,41.5
554,0,9.0,6.38,0.89,88.6
2847,2,12.1,6.31,0.59,44.7
2258,0,0.0,7.27,0.61,67.8
1761,4,14.5,9.53,0.79,37.1
1995,5,16.9,10.77,0.87,34.8
1012,0,2.2,5.61,0.76,86.3
3512,3,14.7,9.61,0.46,14.0
1890,3,16.8,8.75,0.66,35.1
1876,4,13.6,7.67,0.46,37.0
2308,5,12.8,9.66,0.53,23.8
2136,4,12.8,8.49,0.64,35.9
1956,1,4.3,9.13,0.84,65.2
1246,7,14.3,9.93,0.57,22.4
2130,4,14.4,10.66,0.52,19.7
3117,3,18.7,8.63,0.89,41.8
2741,2,14.5,7.57,0.79,46.6
2915,5,4.6,10.77,0.84,24.9
1442,1,4.3,8.04,0.72,75.4
1107,2,7.6,7.28,0.76,70.8
1711,6,17.5,10.15,0.38,9.4
1839,1,9.5,8.32,0.84,56.8
2565,7,30.7,12.24,0.38,0.0
615,2,13.7,8.43,0.61,60.5
2870,2,12.7,7.11,0.62,28.6
1689,2,13.3,7.86,0.73,52.5
1501,3,12.6,7.83,0.51,44.1
1091,4,18.7,7.82,1.0,51.3
641,2,9.3,9.51,0.51,49.4
2376,1,3.6,6.53,0.42,50.8
1851,5,16.3,11.37,0.59,14.9
897,2,15.7,8.64,0.74,57.8
893,7,17.3,10.8,0.74,23.5
1564,7,14.7,9.0,0.69,37.3
2968,5,26.9,10.07,0.74,7.9
1618,1,3.1,7.64,0.84,67.3
747,1,9.2,6.86,0.83,78.1
1627,2,13.9,7.21,0.71,52.4
1609,2,9.9,7.18,0.52,54.9
500,2,10.9,7.5,0.52,62.1
1761,3,10.2,6.09,0.62,53.3
1638,5,17.0,9.42,0.58,27.2
2287,2,11.5,8.14,0.86,60.6
3094,3,13.3,9.2,0.68,30.9
2588,3,8.3,6.8,0.6,37.0
1611,2,12.8,8.59,1.0,61.8
1025,2,2.1,5.9,0.81,78.1
3601,9,21.8,11.57,0.38,0.0
1841,6,28.3,11.5,0.51,6.1
1809,5,16.4,7.86,0.23,19.5
1783,2,10.3,7.91,0.97,63.1
1938,2,13.5,7.47,0.85,57.2
1698,0,8.4,8.04,0.89,70.0
1398,7,24.8,11.24,0.46,0.0
1417,4,19.0,10.11,0.89,26.2
1777,2,9.4,7.55,0.73,51.6
1419,3,6.9,7.59,0.38,49.9
1301,6,16.3,9.32,0.55,18.2
1874,2,11.5,8.06,0.6,48.1
